id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1401590937155817474	1401552013377245191	2021-06-06 22:54:54 IST	2021-06-06	22:54:54	+0530	848758258928033795	mypalsun	🌞S.Kumar👉🌱🌲🌳👈		@MahmudOfGhazni @BireshwarN EVMs fixes everything for Bjp 👎  Proofs: They just got majority in Assam assembly election 2021 👎  And also got 77 seats in West Bengal too .. when Bjp isn't at all strong there 👎  Act of Voters or Sold out Ec? 👉As usual opposition parties r silent👎  https://t.co/iqgZ6LQMzE	en	[]	[]	['https://pbs.twimg.com/media/E2NqiXsUYAAsflg.jpg', 'https://pbs.twimg.com/media/E2NqjBQUYAIeiGG.jpg', 'https://pbs.twimg.com/media/E2NqjS4VcAEFa5R.jpg', 'https://pbs.twimg.com/media/E2NqjhLVoAE_Syl.jpg']	0	2	3	[]	[]	https://twitter.com/mypalsun/status/1401590937155817474	False		1	https://pbs.twimg.com/media/E2NqiXsUYAAsflg.jpg							[{'screen_name': 'BireshwarN', 'name': 'BIRESHWAR NAHA', 'id': '1027103014492942337'}]				
1401546919864795137	1401546917260120067	2021-06-06 19:59:59 IST	2021-06-06	19:59:59	+0530	848758258928033795	mypalsun	🌞S.Kumar👉🌱🌲🌳👈		EVMs fixes everything for Bjp 👎  Proofs: They just got majority in Assam assembly election 2021 👎  And also got 77 seats in West Bengal too .. when Bjp isn't at all strong there 👎  Act of Voters or Sold out Ec? 👉As usual opposition parties r silent👎  https://t.co/iqgZ6LQMzE	en	[]	[]	['https://pbs.twimg.com/media/E2NqiXsUYAAsflg.jpg', 'https://pbs.twimg.com/media/E2NqjBQUYAIeiGG.jpg', 'https://pbs.twimg.com/media/E2NqjS4VcAEFa5R.jpg', 'https://pbs.twimg.com/media/E2NqjhLVoAE_Syl.jpg']	1	1	1	[]	[]	https://twitter.com/mypalsun/status/1401546919864795137	False		1	https://pbs.twimg.com/media/E2NqiXsUYAAsflg.jpg							[]				
1401450288238583808	1401450288238583808	2021-06-06 13:36:01 IST	2021-06-06	13:36:01	+0530	1284025544971972608	ajitkrbhuyan	Ajit Kumar Bhuyan, MP		Not even a month of the New Govt and they unapologetically drops their repeated commitments made during election campaigns in 2014, 2016, 2019 and even in 2021 to revive the two paper mills of Assam with special economic packages at any cost.  1/4	en	[]	[]	[]	1	4	19	[]	[]	https://twitter.com/AjitKrBhuyan/status/1401450288238583808	False		0								[]				
1401399282792427520	1401399282792427520	2021-06-06 10:13:20 IST	2021-06-06	10:13:20	+0530	1401223174050652161	ayushro45082296	Ayush Roy		We have to win.  #HimantaBiswaSarma #PMOIndia  #BJP can't win 2021 election in kokalta.After few years #BJP  will lose from Assam also. IF STUDENTS DON'T GET SUPPORT FROM BJP government than we have to change and see whether CONGRESS government help us or not. #HimantaBiswaSarma  https://t.co/QzBOUFsmMi	en	[]	[]	['https://pbs.twimg.com/media/E3LFNs4VkAEwvCI.jpg']	0	0	0	['himantabiswasarma', 'pmoindia', 'bjp', 'bjp', 'himantabiswasarma']	[]	https://twitter.com/AyushRo45082296/status/1401399282792427520	False	https://twitter.com/sajin_aktar/status/1401398407835439104	1	https://pbs.twimg.com/media/E3LFNs4VkAEwvCI.jpg							[]				
1401226648536502276	1401226648536502276	2021-06-05 22:47:21 IST	2021-06-05	22:47:21	+0530	1254352696473030656	tapankantinandy	Tapan Kanti Nandy		Congress joined hands with  Badrudin Azmal to defeat BJP in Assam. Badruddin in campaign said -tupi,lungi n dari(beard) will win d 2021 assembly election. Pls think once these people's remark. They r secular in d eye of progressive n national  Congress.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/TapanKantiNandy/status/1401226648536502276	False	https://twitter.com/OpIndia_com/status/1400431155057291267	0								[]				
1401226299557912577	1400844139537649670	2021-06-05 22:45:57 IST	2021-06-05	22:45:57	+0530	2356774777	saikia_krishna	Krishna Saikia		@himantabiswa @nath_ngatey My 31 years old brother took covaxin on 27.04.2021 owing to election duty. Window for second dose is getting over on 8.06.2021. Covaxin not available in Dibrugarh and Jorhat. Kindly guide @nhm_assam	en	[{'screen_name': 'nhm_assam', 'name': 'nhm_assam', 'id': '926126009954398208'}]	[]	[]	0	0	1	[]	[]	https://twitter.com/saikia_krishna/status/1401226299557912577	False		0								[{'screen_name': 'himantabiswa', 'name': 'Himanta Biswa Sarma', 'id': '131188226'}, {'screen_name': 'nath_ngatey', 'name': 'Munindra Nath Ngatey', 'id': '1379791243794735108'}]				
1401176418461966338	1401176418461966338	2021-06-05 19:27:45 IST	2021-06-05	19:27:45	+0530	123196111	spsailendra	SailendraPandey,MAP CBFC. ChairmanJSFNE		Assam assembly election results 2021 and the changing demographic equations: A few insights  https://t.co/Wv43GdFpjy via Thanku @hindupost  Cc to @narendramodi @AmitShah @himantabiswa	en	[{'screen_name': 'hindupost', 'name': 'hindupost', 'id': '4366154414'}, {'screen_name': 'narendramodi', 'name': 'narendra modi', 'id': '18839785'}, {'screen_name': 'amitshah', 'name': 'amit shah', 'id': '1447949844'}, {'screen_name': 'himantabiswa', 'name': 'himanta biswa sarma', 'id': '131188226'}]	['https://www.hindupost.in/politics/assam-assembly-election-results-2021-and-the-changing-demographic-equations/']	[]	1	4	15	[]	[]	https://twitter.com/spsailendra/status/1401176418461966338	False		0								[]				
1401159268456222720	1401159268456222720	2021-06-05 18:19:36 IST	2021-06-05	18:19:36	+0530	2356774777	saikia_krishna	Krishna Saikia		My brother took covaxin on 27.04.2021 for election counting duty. And his window for second dose is getting over on 8.05.2021. But there is no covaxin here in Dibrugarh. He is 31 years old. Please help @himantabiswa @nhm_assam	en	[{'screen_name': 'himantabiswa', 'name': 'himanta biswa sarma', 'id': '131188226'}, {'screen_name': 'nhm_assam', 'name': 'nhm_assam', 'id': '926126009954398208'}]	[]	[]	0	0	1	[]	[]	https://twitter.com/saikia_krishna/status/1401159268456222720	False		0								[]				
1401144261026803719	1401144261026803719	2021-06-05 17:19:58 IST	2021-06-05	17:19:58	+0530	1666873268	56perumal	PERUMAL PILLAI 🇮🇳		Assam assembly election results 2021 and the changing demographic equations: A few insights  https://t.co/qIwOX7Bms6 via @hindupost	en	[{'screen_name': 'hindupost', 'name': 'hindupost', 'id': '4366154414'}]	['https://www.hindupost.in/politics/assam-assembly-election-results-2021-and-the-changing-demographic-equations/']	[]	0	0	0	[]	[]	https://twitter.com/56perumal/status/1401144261026803719	False		0								[]				
1401109904115388418	1401109904115388418	2021-06-05 15:03:27 IST	2021-06-05	15:03:27	+0530	701656704568549377	nsubrayan	V N Subrayan Potty		Assam assembly election results 2021 and the changing demographic equations: A few insights  https://t.co/gLFWFgbGFF via @hindupost	en	[{'screen_name': 'hindupost', 'name': 'hindupost', 'id': '4366154414'}]	['https://www.hindupost.in/politics/assam-assembly-election-results-2021-and-the-changing-demographic-equations/']	[]	0	0	0	[]	[]	https://twitter.com/NSubrayan/status/1401109904115388418	False		0								[]				
